latitude,longitude,timestamp,unit,trip_number
40.98464,-74.31164,2023-12-10 22:12:47+00:00,2000,6
40.98494,-74.3114,2023-12-10 22:12:49+00:00,2000,6
40.98494,-74.3114,2023-12-10 22:12:49+00:00,2000,6
40.98634,-74.31029,2023-12-10 22:13:00+00:00,2000,6
40.98654,-74.31013,2023-12-10 22:13:02+00:00,2000,6
40.98674,-74.30998,2023-12-10 22:13:03+00:00,2000,6
40.98695,-74.30983,2023-12-10 22:13:05+00:00,2000,6
40.98714,-74.3097,2023-12-10 22:13:06+00:00,2000,6
40.98736,-74.30956,2023-12-10 22:13:08+00:00,2000,6
40.98757,-74.30944,2023-12-10 22:13:09+00:00,2000,6
40.98779,-74.30932,2023-12-10 22:13:11+00:00,2000,6
40.98801,-74.30922,2023-12-10 22:13:13+00:00,2000,6
40.98822,-74.30912,2023-12-10 22:13:14+00:00,2000,6
40.98845,-74.30903,2023-12-10 22:13:16+00:00,2000,6
40.98868,-74.30894,2023-12-10 22:13:17+00:00,2000,6
40.9889,-74.30887,2023-12-10 22:13:19+00:00,2000,6
40.98913,-74.3088,2023-12-10 22:13:20+00:00,2000,6
40.98913,-74.3088,2023-12-10 22:13:20+00:00,2000,6
40.98935,-74.30875,2023-12-10 22:13:22+00:00,2000,6
40.98958,-74.3087,2023-12-10 22:13:23+00:00,2000,6
40.98981,-74.30866,2023-12-10 22:13:25+00:00,2000,6
40.99004,-74.30862,2023-12-10 22:13:26+00:00,2000,6
40.99027,-74.3086,2023-12-10 22:13:28+00:00,2000,6
40.9905,-74.30859,2023-12-10 22:13:30+00:00,2000,6
40.99073,-74.30858,2023-12-10 22:13:31+00:00,2000,6
40.99096,-74.30858,2023-12-10 22:13:33+00:00,2000,6
40.9912,-74.30859,2023-12-10 22:13:34+00:00,2000,6
40.99143,-74.3086,2023-12-10 22:13:36+00:00,2000,6
40.99167,-74.30863,2023-12-10 22:13:37+00:00,2000,6
40.99189,-74.30866,2023-12-10 22:13:39+00:00,2000,6
40.99212,-74.30869,2023-12-10 22:13:40+00:00,2000,6
40.99292,-74.30882,2023-12-10 22:13:46+00:00,2000,6
40.99371,-74.30894,2023-12-10 22:13:51+00:00,2000,6
40.99394,-74.30897,2023-12-10 22:13:53+00:00,2000,6
40.99417,-74.30901,2023-12-10 22:13:54+00:00,2000,6
40.9944,-74.30902,2023-12-10 22:13:56+00:00,2000,6
40.99463,-74.30904,2023-12-10 22:13:57+00:00,2000,6
40.99486,-74.30904,2023-12-10 22:13:59+00:00,2000,6
40.9951,-74.30902,2023-12-10 22:14:00+00:00,2000,6
40.99533,-74.30901,2023-12-10 22:14:02+00:00,2000,6
40.99556,-74.30897,2023-12-10 22:14:03+00:00,2000,6
40.9958,-74.30894,2023-12-10 22:14:05+00:00,2000,6
40.9958,-74.30894,2023-12-10 22:14:05+00:00,2000,6
40.99602,-74.30888,2023-12-10 22:14:07+00:00,2000,6
40.99625,-74.30881,2023-12-10 22:14:08+00:00,2000,6
40.99647,-74.30874,2023-12-10 22:14:10+00:00,2000,6
40.99669,-74.30865,2023-12-10 22:14:11+00:00,2000,6
40.99693,-74.30854,2023-12-10 22:14:13+00:00,2000,6
40.99716,-74.30843,2023-12-10 22:14:15+00:00,2000,6
40.99735,-74.30833,2023-12-10 22:14:16+00:00,2000,6
40.99755,-74.30821,2023-12-10 22:14:17+00:00,2000,6
40.99773,-74.30809,2023-12-10 22:14:19+00:00,2000,6
